,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
95,0.015774008,0.49905145,0.2600299,0.056655046,0.021680217,0.097633444,0.005462522,2.585788,1.7972993,0.34131086,0.12620701,2.2736754
96,0.008362613,0.008837432,0.04888272,0.65355444,0.02035303,0.25567865,0.0040069995,0.4469462,0.020869968,0.5076906,2.5892684,0.129712
97,0.1703689,0.011179792,0.1754955,2.0471199,0.55622786,0.31354538,0.2578497,0.03146977,0.18251854,0.38192862,1.5470475,0.20614764
98,0.006257367,0.022717,0.21815208,0.017859284,1.6853178,1.32155,0.37189144,0.05634688,0.035216644,0.23837364,0.6644198,1.8112469
99,0.020101164,0.0030850496,0.3186438,2.7461736,0.02786209,0.6656016,0.8113963,0.3398831,2.138185,1.4706874,0.4345786,0.0019621653
100,0.030265437,0.05205392,1.02936,1.6356996,1.2605104,0.742925,1.0656687,0.008088455,0.37112024,0.19370662,0.53717834,3.1467323
101,0.044849873,0.24701752,0.537709,0.87828463,1.3063389,0.07601057,0.029911112,0.04976294,0.08796819,3.038048,1.4307023,0.35536772
102,0.02001884,0.027787765,0.8796661,2.1553035,0.010798666,0.28146684,0.0030579576,1.867946,0.117789075,0.014552673,0.9914009,0.43450263
103,0.024936102,0.0016300884,1.1734529,0.097203374,0.6863755,0.85611993,0.6808049,0.295054,0.018047517,1.4477408,1.4179337,0.0015134296
104,0.09976607,0.0068932115,0.04261105,0.17672834,0.013632762,0.51263267,0.00393622,1.7756585,0.08498573,5.107666,0.94530576,0.29501322
105,0.025801351,0.0032130945,0.5851617,1.7108303,0.15299687,2.0055404,1.5191667,1.210545,0.4868376,0.4073922,1.0964247,0.0019354384
106,0.016690766,0.01608727,1.2489029,1.7052518,0.23947278,0.25127628,0.16462533,0.18338841,2.7302158,1.0018622,0.06588502,0.006231979
107,0.03147641,0.011864238,0.65582824,2.668657,0.44549832,2.796383,1.7260331,1.0004277,0.5391566,0.089729846,0.14909434,0.036934383
108,0.009382771,0.009585907,0.2823765,1.6395915,0.06820882,2.175408,0.6922024,0.08381074,0.051746085,4.6153197,0.07902769,0.08024066
