,Atrial Cardiomyocyte,Ventricular Cardiomyocyte,Fibroblast,Endothelial cell,Lymphatic Endothelial cell,Mural cell,Mesothelial cell,Neural cell,Adipocyte,Myeloid,Lymphoid,Mast cell
95,0.016357463,0.24473423,0.20001884,0.025228366,0.10750875,7.519111e-09,0.0010251934,0.16044177,0.029403068,0.14877851,0.031118471,0.03538532
96,0.015744947,0.25939432,0.0074559837,0.021108901,0.10891639,6.4074226e-09,0.07189903,0.030826425,0.0037701086,0.33794805,0.08854816,0.05438771
97,0.0040719933,0.21733008,0.094995216,0.030293845,0.10964031,2.6220667e-08,0.00037190513,0.16997297,0.012070194,0.14550255,0.18518768,0.030563196
98,0.2025753,0.1070394,0.016140647,0.3217829,0.0872152,6.793152e-07,0.014276169,0.055432167,0.0018876867,0.12232893,0.048475366,0.022845581
99,0.02357642,0.23559223,0.05831139,0.07419522,0.11316162,5.335862e-09,0.000704428,0.13817951,0.006762514,0.30507812,0.043763477,0.0006750664
100,0.007700518,0.18249011,0.036233757,0.056436524,0.06644395,4.0198334e-09,0.5190496,0.092747085,0.0020715822,0.0037248787,0.031683132,0.0014188872
101,0.003741889,0.015603914,0.024170762,0.19837852,0.067561425,7.292701e-08,0.277633,0.07421207,0.0021495926,0.23325175,0.03509228,0.06820465
102,0.0033641264,0.12868018,0.034588303,0.0048349653,0.012330551,4.365026e-10,0.35885054,0.10941067,0.016978707,0.26327994,0.06632103,0.0013609838
103,0.0019571772,0.0066959322,0.1010633,0.07581801,0.07839564,3.656246e-08,0.30556187,0.17388667,0.017651103,0.12422141,0.03604403,0.07870484
104,0.0020925365,0.010416144,0.14022614,0.051661063,0.03743673,2.6361269e-08,0.18309815,0.2293669,0.02493654,0.2371309,0.046520714,0.037114233
105,0.029926304,0.060545802,0.06733082,0.05246738,0.12829222,9.101e-09,0.43655023,0.05113059,0.011222467,0.06143788,0.05116358,0.04993271
106,0.0018743642,0.051189885,0.19323556,0.0051616062,0.012779421,8.1420035e-09,0.0031393159,0.05269153,0.08943187,0.4028041,0.14582793,0.041864395
107,0.02601351,0.24922714,0.025325343,0.10644826,0.03693659,9.486899e-08,0.30460238,0.049988803,0.0015497654,0.056809995,0.09923623,0.043861933
108,0.03570681,0.3260221,0.11170597,0.09127258,0.02019341,1.2542522e-07,0.020449141,0.15308547,0.013370003,0.0682378,0.12781037,0.032146145
109,0.021915093,0.46951637,0.015704453,0.19845925,0.13854112,3.95747e-08,0.00061891926,0.04572409,0.00036692776,0.037131086,0.021775356,0.05024728
110,0.0033296335,0.011474088,0.21714805,0.13825017,0.08864089,6.647236e-08,0.057764333,0.14766552,0.027566006,0.19120382,0.035166815,0.08179061
111,0.0077606863,0.112658955,0.08419996,0.14032505,0.072880246,1.2679023e-07,0.34752125,0.08584554,0.0064194086,0.08962787,0.023453906,0.029307002
112,0.0009408782,0.009156738,0.24660406,0.078347445,0.051066935,2.9335759e-08,0.11601155,0.18726961,0.03663042,0.009718311,0.23239712,0.031856894
113,0.0025364456,0.02302274,0.21916498,0.042677544,0.040878266,5.2063516e-08,0.05759502,0.22815523,0.050391253,0.16850924,0.06921905,0.097850166
114,0.006570187,0.17712574,0.10172163,0.030232327,0.018383086,4.5544713e-08,0.23465672,0.18942815,0.0111143,0.032304063,0.13156432,0.06689943
