dataset_id,cell_type,undirected_edges,boundary_edge_quantile,length_boundary_edges,count_boundary_edges,boundary_edge_jaccard,interpretation
gse205055_shapemix_mouse_embryo_e13_25um_v1,Excitatory neuron,32193,0.9,3220,3220,0.7114004783417486,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Inhibitory neuron,32193,0.9,3220,3220,0.6947368421052632,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_25um_v1,Peripheral/sensory/motor neural,32193,0.9,3220,3220,0.48592524227041994,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,Excitatory neurons,8656,0.9,866,866,0.44093178036605657,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,Inhibitory neurons,8656,0.9,866,866,0.4231717337715694,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,Other neurons,8656,0.9,866,866,0.48669527896995707,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,Astroglia/ependymal,8656,0.9,866,866,0.8603651987110634,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,Oligodendrocytes,8656,0.9,866,866,0.8949671772428884,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,OPCs,8656,0.9,866,866,0.892896174863388,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,Microglia/macrophages,8656,0.9,866,866,0.8155136268343816,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,Other immune,8656,0.9,866,866,0.5246478873239436,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,Vascular/stromal,8656,0.9,866,866,0.583180987202925,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,Excitatory neurons,32515,0.9,3252,3252,0.43323049801674746,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,Inhibitory neurons,32515,0.9,3252,3252,0.4126846220677672,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,Other neurons,32515,0.9,3252,3252,0.2987220447284345,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,Astroglia/ependymal,32515,0.9,3252,3252,0.8630764823832713,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,Oligodendrocytes,32515,0.9,3252,3252,0.8956572427863596,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,OPCs,32515,0.9,3252,3252,0.8781403407450188,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,Microglia/macrophages,32515,0.9,3252,3252,0.7907488986784141,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,Other immune,32515,0.9,3252,3252,0.5167910447761194,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_brain_p22_20um_100barcodes_rep2_v1,Vascular/stromal,32515,0.9,3252,3252,0.6784516129032258,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Mesenchymal,8298,0.9,830,830,0.5441860465116279,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Chondro-osteogenic,8298,0.9,830,830,0.6733870967741935,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Muscle,8298,0.9,830,830,0.7473684210526316,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Endothelial,8298,0.9,830,830,0.6852791878172588,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Epithelial,8298,0.9,830,830,0.6468253968253969,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Hepatocyte,8298,0.9,830,830,0.7078189300411523,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Erythroid,8298,0.9,830,830,0.8609865470852018,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Immune,8298,0.9,830,830,0.5749525616698292,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Neural progenitor/regional CNS,8298,0.9,830,830,0.8693693693693694,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Excitatory neuron,8298,0.9,830,830,0.5543071161048689,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Inhibitory neuron,8298,0.9,830,830,0.6258570029382958,paired_method_boundary_agreement_descriptive
gse205055_shapemix_mouse_embryo_e13_50um_v1,Peripheral/sensory/motor neural,8298,0.9,830,830,0.48878923766816146,paired_method_boundary_agreement_descriptive
gse205055_shapemix_human_hippocampus_50um_v1,Inhibitory neurons,8398,0.9,840,840,0.5584415584415584,paired_method_boundary_agreement_descriptive
gse205055_shapemix_human_hippocampus_50um_v1,Excitatory neurons,8398,0.9,840,840,0.53987167736022,paired_method_boundary_agreement_descriptive
gse205055_shapemix_human_hippocampus_50um_v1,Astrocytes,8398,0.9,840,840,0.8522601984564498,paired_method_boundary_agreement_descriptive
gse205055_shapemix_human_hippocampus_50um_v1,Oligodendrocytes,8398,0.9,840,840,0.8502202643171806,paired_method_boundary_agreement_descriptive
gse205055_shapemix_human_hippocampus_50um_v1,OPCs,8398,0.9,840,840,0.7301750772399588,paired_method_boundary_agreement_descriptive
gse205055_shapemix_human_hippocampus_50um_v1,Microglia,8398,0.9,840,840,0.838074398249453,paired_method_boundary_agreement_descriptive
