pair_id,left_dataset_id,right_dataset_id,method_id,cell_type,shared_spots,spearman_r,constant_map,mean_absolute_difference,interpretation
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,OPCs,2500,0.07088527854164459,False,0.08509330478775169,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,Microglia/macrophages,2500,0.02186956305113009,False,0.07213200828561361,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,Other immune,2500,-0.021257802569248415,False,0.03262909212751884,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,shapemix_count_only,Vascular/stromal,2500,0.03142325648372104,False,0.12912827655873926,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,Excitatory neurons,2500,0.0139211980645237,False,0.006249669829625795,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,Inhibitory neurons,2500,0.03725381133608087,False,0.06292879678663135,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,Other neurons,2500,-0.026790634534722278,False,0.20138652827648867,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,Astroglia/ependymal,2500,-0.04061347221929189,False,0.11941740459585992,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,Oligodendrocytes,2500,0.008269931693579893,False,0.0766895477012129,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,OPCs,2500,0.031729225321382795,False,0.059416322248806094,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,Microglia/macrophages,2500,-0.015364125590756903,False,0.23821506284107827,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,Other immune,2500,-0.009990790001653226,False,0.12110962153301134,descriptive_independent_section_consistency
gse205055_mouse_brain_p21_primary_vs_rep2,gse205055_shapemix_mouse_brain_p21_20um_primary_v1,gse205055_shapemix_mouse_brain_p21_20um_rep2_v1,nnls,Vascular/stromal,2500,-0.014095649223295873,False,0.02856040925132371,descriptive_independent_section_consistency
