restart_index,selected,step,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective
0,True,57,-12554541.48046875,-13160866.01171875,-36943.981201171875,-25752351.473388672
0,True,58,-12554282.6953125,-13160791.69140625,-36937.26806640625,-25752011.654785156
0,True,59,-12554033.07421875,-13160718.1328125,-36930.44091796875,-25751681.64794922
0,True,60,-12553792.15234375,-13160645.32421875,-36923.518310546875,-25751360.994873047
0,True,61,-12553559.609375,-13160573.48046875,-36916.517333984375,-25751049.607177734
0,True,62,-12553335.09375,-13160502.2890625,-36909.44921875,-25750746.83203125
0,True,63,-12553118.13671875,-13160431.9921875,-36902.32373046875,-25750452.45263672
0,True,64,-12552908.37890625,-13160362.38671875,-36895.148681640625,-25750165.91430664
0,True,65,-12552705.23828125,-13160293.6171875,-36887.93408203125,-25749886.78955078
0,True,66,-12552508.6015625,-13160225.5859375,-36880.69189453125,-25749614.87939453
0,True,67,-12552318.015625,-13160158.4609375,-36873.432861328125,-25749349.909423828
0,True,68,-12552133.2421875,-13160092.05859375,-36866.17431640625,-25749091.475097656
0,True,69,-12551953.8828125,-13160026.54296875,-36858.9384765625,-25748839.364257812
0,True,70,-12551779.88671875,-13159961.88671875,-36851.751953125,-25748593.525390625
0,True,71,-12551610.85546875,-13159897.94140625,-36844.62939453125,-25748353.42626953
0,True,72,-12551446.7421875,-13159834.98828125,-36837.584716796875,-25748119.315185547
0,True,73,-12551287.50390625,-13159772.63671875,-36830.6171875,-25747890.7578125
0,True,74,-12551132.8046875,-13159711.26171875,-36823.731689453125,-25747667.798095703
0,True,75,-12550982.4296875,-13159650.71875,-36816.93212890625,-25747450.080566406
