,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
507,0.017353714,0.00074635714,0.00086350826,5.859967,0.005164187,0.4189152,0.013459269,0.22602679,0.006709934,0.0006636402,0.0027141275,0.8416277,0.028656023
508,0.06723349,0.016078282,0.03411169,0.011355391,0.032085784,2.6716852,0.034533966,2.7361066,0.023190906,8.20766,0.02685663,0.055256713,0.064314954
509,0.02228587,0.10498287,0.010861767,0.0058584465,0.008873424,5.0840626,0.017378842,6.2663774,0.024747973,2.7523751,0.038195353,0.008951856,0.01590995
510,0.020312715,0.00648987,0.013011289,0.0046743774,0.0067966697,4.418654,0.0066895764,2.5924377,0.015661046,4.5528564,0.092778236,0.008060552,0.009471363
511,0.10971792,0.008460683,0.0094859265,0.008944203,0.011908531,2.8285363,0.037773654,4.508771,0.009500278,1.3185873,0.013930413,0.027650345,0.043839563
512,0.05669636,0.014261326,0.010337621,0.012366925,0.01567287,3.7058792,0.087211356,3.7421234,0.0060011535,0.83727896,0.008791383,0.35360226,0.80731356
513,0.13010772,0.31938973,0.021241952,0.05433931,0.01807492,6.998119,0.031877648,0.9855276,2.0538006,1.0940032,0.62788147,0.2784992,0.34382302
514,0.03647481,0.15931138,0.010152235,0.015418126,0.013162258,4.5026484,0.025377855,6.378087,0.012945941,2.1866417,0.010387503,0.16880412,0.06695253
515,0.055887755,0.3136657,0.0063665477,1.5719533,0.015407291,2.218414,0.023440095,0.16214225,0.83636487,0.0036119744,0.19086215,0.5194834,1.7858582
516,0.10726078,0.9366986,0.005693902,1.7649848,0.029447995,3.5540068,0.033580348,0.017616259,1.2000352,0.0049331416,0.012180502,1.6208838,0.0733154
517,0.046998587,0.005323128,0.005297663,1.2048646,0.012902591,1.2094342,0.024265356,0.37173867,0.2759823,0.0032314828,0.020035524,0.8186013,3.9074054
518,0.022437342,0.0010192409,0.0008538786,3.2221403,0.0076055536,0.030251602,0.074382536,0.035380237,0.0047632004,0.0009481186,0.0050399974,2.651702,0.022159584
519,0.03414371,0.017963918,0.010527465,0.010007053,0.029942913,0.17001653,3.058651,6.4265275,0.017464446,0.0048672818,3.0183861,0.0091397595,0.0110372165
520,0.09888681,0.051631548,0.016619584,0.018663187,0.040052332,0.014737822,2.8224716,1.0888964,0.04264803,0.03939739,6.433484,0.62120926,1.378533
