,q05cell_abundance_w_sf_Atrial Cardiomyocyte,q05cell_abundance_w_sf_Ventricular Cardiomyocyte,q05cell_abundance_w_sf_Fibroblast,q05cell_abundance_w_sf_Endothelial cell,q05cell_abundance_w_sf_Lymphatic Endothelial cell,q05cell_abundance_w_sf_Mural cell,q05cell_abundance_w_sf_Mesothelial cell,q05cell_abundance_w_sf_Neural cell,q05cell_abundance_w_sf_Adipocyte,q05cell_abundance_w_sf_Myeloid,q05cell_abundance_w_sf_Lymphoid,q05cell_abundance_w_sf_Mast cell
36,4.615245979948668e-05,0.2967498987913132,0.00014857597125228494,0.02939551919698715,0.07971461564302444,0.2668115466833115,0.2296855330467224,0.327314504981041,2.7314930866850774e-05,0.6140711456537247,0.0009095225366763771,0.3737187564373016
37,0.00015725212433608248,0.3770678088068962,0.09897387102246284,0.6376085609197617,0.03084016274660826,0.004079632554203272,0.35009198188781737,0.13255977258086205,0.007375181093811989,0.09190746285021305,0.0027832630439661443,0.34233356565237044
38,0.01601137388497591,0.3656432434916496,0.36793966591358185,0.002477777225431055,0.12972747012972832,0.1254866410046816,0.08034049160778522,0.00619471378158778,5.4089318837213796e-05,0.09770305305719376,0.33634939342737197,0.11679791659116745
39,0.00014091499178903177,0.09243481121957302,0.0839232213795185,0.42977731823921206,0.22716282680630684,0.532749280333519,0.5090433686971665,0.053780625388026235,1.4952074343455024e-05,9.206022650687374e-06,0.0005071400402812288,0.12776344940066336
40,0.09139542765915394,0.008665166469290853,1.158795303106308,0.11605293340981007,0.0023766187485307457,0.014449022570624947,0.24931930676102637,0.00019194432024960406,0.0040700228186324235,1.879973828792572,0.19709253087639808,0.0007724465423962102
41,8.876866741047706e-06,0.19027072712779045,0.0002683893486391753,0.292280387878418,0.039048404060304166,0.1918685980141163,0.43769909292459486,0.04274750407785177,1.7880300492834068e-05,0.06539906151592731,0.718067666888237,0.0006388387148035691
42,3.9710804412607106e-05,0.25355424284934996,0.0008647756796563045,0.753298568725586,0.15594738051295282,0.2229764610528946,0.47727104723453523,0.27689711153507235,5.676288728864165e-05,0.000852621701778844,0.17509763836860656,0.3932697042822838
43,9.67341847513126e-07,1.1809526449724217e-05,0.3113760381937027,0.1885132297873497,0.22534376084804536,0.0010328289703466,0.00017809546770877204,0.5091740995645523,7.272568800544831e-05,0.14186273291707038,0.21974205523729323,0.27898416072130205
44,3.663213119580178e-05,0.2421725533902645,0.22361950650811196,0.3062566816806793,0.08704186230897903,0.01620719414204359,5.0240486416441854e-05,0.026689445693045856,0.0008643585722893477,0.029469795618206264,0.5577199488878251,0.16290982887148858
45,0.0011273116571828723,0.2303277835249901,0.2861557438969612,0.10298012793064118,0.00012851950014010073,0.4542878091335297,0.03581674043089152,0.05399027392268181,1.4375706177816029e-05,0.14415533542633058,0.11083103939890862,0.32161437124013903
46,0.003562429582234472,0.24951293393969537,0.4447236925363541,0.34449789524078367,0.0009915735805407166,0.4354770421981812,0.011725286953151226,0.07152353972196579,0.0027517050853930413,0.297494412958622,0.002401312382426113,0.0006048252485925332
