,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
82,0.13760231,0.11808013,0.08833452,0.10333047,0.1002404,0.0729216,0.103641376,0.093043156,0.110812046,0.07199399
83,0.13749841,0.11802253,0.0883398,0.10354655,0.10002633,0.07299626,0.103549816,0.093260325,0.11065741,0.07210264
84,0.13768217,0.11803958,0.08831579,0.10334704,0.100224756,0.072966695,0.10350266,0.09309986,0.110766724,0.07205469
85,0.1377043,0.1180801,0.08835339,0.10330937,0.100266844,0.07291114,0.10352886,0.09301269,0.11084402,0.0719893
86,0.1377527,0.11804432,0.08843104,0.1032665,0.100291856,0.07290035,0.103517964,0.09295383,0.11085687,0.071984634
87,0.13772401,0.11807824,0.08841414,0.10324596,0.100284226,0.07290047,0.1035354,0.09294645,0.11090051,0.0719706
88,0.1377454,0.11795941,0.08849036,0.10333984,0.10032583,0.07276365,0.1033925,0.09297939,0.110905,0.07209858
89,0.13767809,0.11805746,0.088366956,0.103314236,0.10025269,0.07291669,0.10356209,0.09302068,0.11083283,0.07199829
90,0.13755102,0.11802769,0.0879924,0.10362017,0.09990174,0.07319371,0.10381586,0.0933048,0.110585004,0.07200761
91,0.13760102,0.118162006,0.088176906,0.10349207,0.100219615,0.07291803,0.10350025,0.0932068,0.110701166,0.07202214
92,0.13712956,0.118013754,0.08787794,0.10394218,0.09996179,0.07335023,0.10366157,0.0934316,0.11049808,0.07213336
93,0.13749674,0.11814879,0.08825457,0.10338802,0.10037204,0.07300972,0.10369742,0.09299583,0.110788725,0.071848154
94,0.13769713,0.11810332,0.08835479,0.10327298,0.1002767,0.072940454,0.10362014,0.09295627,0.11082821,0.071949966
95,0.13771032,0.11813466,0.08835051,0.103215486,0.10031377,0.072923824,0.103650786,0.09289854,0.11087157,0.07193052
96,0.13765275,0.1180591,0.088340454,0.103411786,0.10013772,0.07295505,0.10353461,0.09309298,0.11079901,0.072016515
97,0.13783497,0.118047446,0.088361345,0.103371136,0.10009016,0.07293166,0.103532255,0.093024336,0.110761866,0.0720448
98,0.13767391,0.11811539,0.08829969,0.10331645,0.10020927,0.072963394,0.10363431,0.093029715,0.11079825,0.071959615
99,0.13764744,0.11812125,0.0882135,0.103316166,0.100232616,0.07298175,0.10362664,0.09311476,0.110762775,0.07198311
