,T_CD4,T_CD8,T_reg,mDC,mono-mac,myeloid,pDC,plasma,tumour_1,tumour_2
79,0.11330868,0.10455726,0.106524676,0.0975084,0.101951,0.12078828,0.08354532,0.093325354,0.09288099,0.085609965
80,0.1135176,0.10437839,0.106649324,0.09726552,0.10194269,0.12075614,0.08326561,0.09343822,0.093004405,0.08578214
81,0.11390222,0.10444433,0.10645373,0.09739402,0.10189542,0.120535016,0.08311733,0.09361319,0.09296519,0.08567953
82,0.113692515,0.104436524,0.10651551,0.09730197,0.10195582,0.12062354,0.083072715,0.09352216,0.092960104,0.08591914
83,0.11349171,0.10458339,0.10667113,0.097242266,0.10181449,0.12081526,0.083038196,0.09349788,0.09281127,0.086034484
84,0.11370575,0.10440136,0.10644902,0.09741731,0.101961106,0.12061157,0.08308959,0.09352101,0.09293232,0.085911006
85,0.11365314,0.10433291,0.10643578,0.097364746,0.101926245,0.12067674,0.083171934,0.093504325,0.09297974,0.085954465
86,0.11354518,0.1044994,0.106462434,0.097401336,0.102000244,0.12073744,0.08308923,0.093513146,0.09277205,0.08597962
87,0.11360163,0.10437937,0.10651443,0.09728244,0.1021118,0.12043185,0.08324193,0.09343899,0.093069345,0.085928194
88,0.11367808,0.10432516,0.10647903,0.0973651,0.10202812,0.12055563,0.08317844,0.093497925,0.09299941,0.08589309
89,0.1136839,0.10434649,0.106490694,0.0973397,0.10198243,0.12060508,0.08311956,0.09346911,0.09301155,0.08595142
90,0.113736205,0.10428933,0.10638418,0.09753441,0.1018521,0.12086113,0.08318977,0.093700714,0.092548326,0.08590383
91,0.11388496,0.103997864,0.106296554,0.09705004,0.10184802,0.12104354,0.0830373,0.09341278,0.093345314,0.08608366
92,0.11373581,0.10445863,0.106451124,0.09719504,0.101888925,0.12073584,0.08311638,0.093400605,0.09303987,0.085977845
93,0.11374647,0.10442373,0.10649255,0.09743518,0.10192613,0.12065697,0.08304904,0.09357051,0.092854954,0.08584455
94,0.113522254,0.10437577,0.10645681,0.09729554,0.10203496,0.12059549,0.08335087,0.09359203,0.09293666,0.085839555
95,0.113762446,0.104226254,0.10636344,0.09747356,0.10202033,0.12059498,0.0832272,0.09351727,0.09298957,0.085824996
96,0.11369119,0.1045468,0.10654861,0.097264014,0.10191004,0.120607935,0.08303137,0.093413524,0.09296835,0.086018175
97,0.11370695,0.104282185,0.10640972,0.097314686,0.10207988,0.120548226,0.08322354,0.09345952,0.093080066,0.085895196
98,0.113701284,0.104311876,0.10641395,0.097382605,0.101979904,0.12061511,0.08317766,0.093533926,0.09299295,0.085890725
99,0.113731466,0.104373835,0.10644826,0.097441524,0.10196713,0.120646626,0.08305797,0.093571134,0.09285907,0.08590298
100,0.1136813,0.10440954,0.10647756,0.09735533,0.10202138,0.120584235,0.08317954,0.09350303,0.09293707,0.08585109
101,0.11362264,0.104238816,0.106437564,0.09720213,0.102100335,0.12088565,0.08312738,0.09368321,0.0929082,0.085794
102,0.11383302,0.10455384,0.10661517,0.097435854,0.10197627,0.12043031,0.082932405,0.09346975,0.09277565,0.08597774
103,0.11380729,0.10445391,0.10639438,0.09741781,0.1016196,0.12064319,0.08269189,0.0933447,0.09313998,0.08648727
