,endothelial cell,astrocyte,oligodendrocyte,microglial cell,vascular associated smooth muscle cell,inhibitory interneuron,pericyte,glutamatergic neuron,radial glial cell,oligodendrocyte precursor cell,neural progenitor cell,medial ganglionic eminence derived interneuron,caudal ganglionic eminence derived interneuron
16,3.3434877e-05,0.4187283,3.1107486e-06,2.7153692e-06,0.18945523,0.048140287,0.16310167,0.1323177,2.0999355e-06,2.477324e-06,0.028495835,5.2924515e-06,0.019711882
17,3.282326e-05,0.25085437,3.7968819e-06,3.195827e-06,0.1354131,0.12845632,0.17764732,0.15735745,2.4784235e-06,2.4147369e-06,0.05716374,5.685069e-06,0.09305727
18,3.2144595e-05,0.09216412,3.73947e-06,4.253734e-06,0.10521726,0.20748836,0.09200654,0.19750406,3.0645688e-06,2.4232133e-06,0.17182164,7.009103e-06,0.13374533
19,3.1312324e-05,0.2796059,3.3026154e-06,2.9187515e-06,0.15776528,0.09975714,0.20171574,0.16457121,2.3295638e-06,2.3524449e-06,0.056377005,5.499556e-06,0.04016004
20,3.219042e-05,0.25158262,3.5184444e-06,3.0531785e-06,0.14945541,0.11733845,0.18776862,0.16818139,2.420076e-06,2.3986934e-06,0.06789119,5.667216e-06,0.057733096
21,3.5280675e-05,0.38725212,3.551156e-06,2.953741e-06,0.1721508,0.067389324,0.15870531,0.13663445,2.241834e-06,2.5308318e-06,0.031801466,5.479842e-06,0.04601448
22,3.332096e-05,0.37515607,3.245533e-06,2.8074555e-06,0.18011972,0.062991284,0.1750375,0.1433372,2.1942055e-06,2.4677897e-06,0.035953227,5.427415e-06,0.027355552
23,3.16822e-05,0.09661158,3.8145033e-06,4.195421e-06,0.09927973,0.21297568,0.085497566,0.18370783,2.9900964e-06,2.3830432e-06,0.15344928,6.9947973e-06,0.16842626
24,2.9653515e-05,0.18286219,3.1498735e-06,3.0669023e-06,0.14117447,0.14079803,0.18905413,0.19160686,2.4491305e-06,2.2784366e-06,0.11345254,5.6893905e-06,0.041005466
25,3.5320933e-05,0.071095645,3.9917445e-06,5.0440276e-06,0.1061436,0.20277268,0.08715168,0.21617638,3.6611873e-06,2.7391561e-06,0.21541956,7.942817e-06,0.101181805
26,3.243853e-05,0.41279367,2.9647022e-06,2.6545792e-06,0.19279584,0.045082975,0.17244148,0.13348682,2.0819373e-06,2.4433941e-06,0.028989306,5.2722567e-06,0.014362092
27,3.3212164e-05,0.2044052,4.1111e-06,3.4738741e-06,0.1191365,0.15780623,0.12950918,0.1537165,2.5895874e-06,2.4435997e-06,0.07253135,6.1732194e-06,0.16284306
28,3.216538e-05,0.3567366,3.0397619e-06,2.7364115e-06,0.18767889,0.060541194,0.18259251,0.15084553,2.1763012e-06,2.439662e-06,0.04286649,5.44041e-06,0.018690804
29,3.2303404e-05,0.39510208,2.9908097e-06,2.6752778e-06,0.19103816,0.049921818,0.17603062,0.1391349,2.1131295e-06,2.4484243e-06,0.03286871,5.3207295e-06,0.015855815
30,2.7014532e-05,0.21133824,2.8632198e-06,2.809329e-06,0.15453523,0.10603078,0.23657468,0.18354724,2.4306603e-06,2.3404343e-06,0.09378577,5.650207e-06,0.014144974
31,3.1901778e-05,0.19280347,3.528883e-06,3.258456e-06,0.13437481,0.1520077,0.16133955,0.18003698,2.4863646e-06,2.3401094e-06,0.09916802,5.8606242e-06,0.08022009
32,3.1474487e-05,0.32487342,3.1002066e-06,2.7894084e-06,0.17633842,0.073704556,0.19612877,0.15752533,2.2281865e-06,2.3834998e-06,0.047745712,5.448099e-06,0.023636334
33,3.0478586e-05,0.2642508,3.1025031e-06,2.8261825e-06,0.16800013,0.0938995,0.20232017,0.17381075,2.3071145e-06,2.3523378e-06,0.07232202,5.5715154e-06,0.025349913
34,3.685921e-05,0.38646656,3.8661833e-06,3.1121363e-06,0.16430688,0.07292157,0.14119793,0.13168642,2.303704e-06,2.5962888e-06,0.030947417,5.641739e-06,0.07241881
35,3.2943404e-05,0.19571015,4.1828794e-06,3.566634e-06,0.113249406,0.1644656,0.11726439,0.14894143,2.6107957e-06,2.4136596e-06,0.0721657,6.3306206e-06,0.18815124
36,3.2749642e-05,0.38483968,3.1117681e-06,2.743483e-06,0.18583739,0.056449838,0.17527677,0.141806,2.1528e-06,2.4575054e-06,0.034733262,5.363585e-06,0.021008506
37,3.21846e-05,0.20711015,4.5074976e-06,3.6090557e-06,0.0980757,0.15840557,0.10966849,0.12543312,2.6154019e-06,2.3789744e-06,0.046972588,6.1466553e-06,0.25428295
38,3.048025e-05,0.16475813,4.2885304e-06,3.7003003e-06,0.08727129,0.18336254,0.091546215,0.12702835,2.6121336e-06,2.2361635e-06,0.057870485,6.2792174e-06,0.28811336
39,3.5621022e-05,0.2838796,4.658863e-06,3.5721896e-06,0.12022428,0.12092747,0.12321978,0.12455302,2.6099872e-06,2.602049e-06,0.037573107,6.216732e-06,0.18956748
40,2.99821e-05,0.07178628,3.0056353e-06,4.1401618e-06,0.12757574,0.14783853,0.14779213,0.24374367,3.2222051e-06,2.520305e-06,0.2435286,6.4806245e-06,0.017685717
41,3.120033e-05,0.37380317,2.9138769e-06,2.669613e-06,0.18851201,0.052389354,0.19215411,0.1442566,2.1417409e-06,2.4226824e-06,0.035651397,5.335451e-06,0.013186634
42,3.7315145e-05,0.34452224,4.5574e-06,3.46835e-06,0.13593414,0.09602382,0.122730784,0.12152074,2.5018348e-06,2.6761022e-06,0.03068983,6.0686657e-06,0.14852183
43,3.3170305e-05,0.38894784,3.1864042e-06,2.7810377e-06,0.18204796,0.058142677,0.1736724,0.13952066,2.1683927e-06,2.468984e-06,0.032787714,5.3775993e-06,0.02483162
44,3.871399e-05,0.3781556,4.4270632e-06,3.3999772e-06,0.15061174,0.08137614,0.12418552,0.12279576,2.4414212e-06,2.7291344e-06,0.02962616,6.0551347e-06,0.11319131
45,3.355621e-05,0.21892841,3.8721478e-06,3.3369865e-06,0.13598317,0.14181319,0.15457395,0.16736485,2.559324e-06,2.4821036e-06,0.08116923,6.0205966e-06,0.1001154
46,3.684585e-05,0.41466856,3.6786168e-06,3.0026874e-06,0.17505951,0.060785774,0.14262371,0.12893704,2.2405613e-06,2.6067985e-06,0.028262412,5.5705214e-06,0.0496091
47,3.3318556e-05,0.3420063,3.3907447e-06,2.9277735e-06,0.16934976,0.077790014,0.18100284,0.1496551,2.2766574e-06,2.4544588e-06,0.040758763,5.4959187e-06,0.039387368
48,3.2028936e-05,0.30679548,3.1876555e-06,2.8485786e-06,0.17568876,0.08079326,0.18932956,0.1632149,2.2780705e-06,2.421947e-06,0.05688961,5.5732303e-06,0.02724005
49,3.392523e-05,0.2528825,4.613728e-06,3.54291e-06,0.108791076,0.13518952,0.120445386,0.122505374,2.5972217e-06,2.4884798e-06,0.03883835,6.091282e-06,0.22129452
50,3.8209382e-05,0.4252621,3.943755e-06,3.1153597e-06,0.16827779,0.062220637,0.12589554,0.12165079,2.2743966e-06,2.679745e-06,0.025799219,5.685443e-06,0.07083797
51,2.783404e-05,0.18489474,2.9216642e-06,2.902175e-06,0.14702365,0.12841965,0.20452191,0.19346817,2.3861817e-06,2.2195384e-06,0.11617398,5.541743e-06,0.025454074
52,2.7467526e-05,0.08794081,2.7339754e-06,3.512608e-06,0.13087057,0.14704728,0.16632494,0.23593459,2.7892595e-06,2.236323e-06,0.21412483,5.7510856e-06,0.017712511
53,3.2129803e-05,0.18358967,3.7960235e-06,3.4708796e-06,0.12143715,0.16685718,0.14312588,0.17010215,2.5720083e-06,2.3690025e-06,0.08978314,6.0211246e-06,0.12505446
54,3.3004006e-05,0.21694997,3.7645352e-06,3.2929952e-06,0.13589518,0.1414143,0.1641159,0.16972539,2.5429497e-06,2.4428946e-06,0.08091629,5.897118e-06,0.090932034
55,3.188442e-05,0.14491391,3.77282e-06,3.7081056e-06,0.113444805,0.18820462,0.12201213,0.17763592,2.68257e-06,2.3521923e-06,0.11685597,6.4263195e-06,0.13688178
56,3.416653e-05,0.23782542,4.3473306e-06,3.4584455e-06,0.12110206,0.14068918,0.13528353,0.1419458,2.5988313e-06,2.5314782e-06,0.05528354,6.1175174e-06,0.16781728
57,2.6735788e-05,0.14626205,2.7181318e-06,2.9494656e-06,0.14018163,0.13770251,0.20042302,0.2074943,2.43469e-06,2.1027515e-06,0.14759059,5.4100183e-06,0.020303454
58,2.907482e-05,0.06627242,2.9122352e-06,4.163564e-06,0.12615274,0.13545275,0.16383196,0.24559799,3.4131638e-06,2.5995653e-06,0.25323865,6.5043664e-06,0.009404781
59,3.232744e-05,0.35163602,3.1681877e-06,2.7963324e-06,0.1773236,0.068244405,0.1865864,0.14970244,2.201557e-06,2.4127107e-06,0.040061936,5.3959193e-06,0.026396878
60,3.3987064e-05,0.28961942,3.802903e-06,3.1888694e-06,0.14727892,0.10810257,0.17549422,0.15295568,2.4596395e-06,2.5005518e-06,0.048471235,5.7194466e-06,0.07802628
61,3.400372e-05,0.2683689,3.7161476e-06,3.155988e-06,0.15307786,0.111445904,0.17606364,0.16358678,2.4729466e-06,2.5090362e-06,0.06352239,5.848693e-06,0.06388286
62,3.324088e-05,0.23897102,4.058785e-06,3.3403014e-06,0.123503275,0.13957535,0.15591294,0.14815526,2.5306633e-06,2.4444505e-06,0.054815225,5.8018873e-06,0.1390155
63,3.1568477e-05,0.38317466,2.9014254e-06,2.631984e-06,0.19029215,0.051007744,0.18473883,0.14199188,2.0894831e-06,2.3880668e-06,0.034309383,5.2733803e-06,0.014438568
64,3.3388063e-05,0.23361856,4.5316883e-06,3.5381922e-06,0.10852757,0.14401937,0.12456495,0.12870054,2.603962e-06,2.4619987e-06,0.04489293,6.1014193e-06,0.21562344
65,3.1079428e-05,0.11824095,3.7770494e-06,3.872199e-06,0.10058151,0.20677796,0.09350266,0.1714862,2.7537876e-06,2.298223e-06,0.12824273,6.693174e-06,0.18111753
