,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Ventricular Cardiomyocyte
55,0.013122127,0.0062185097,0.11215534,0.04073317,0.050740592,1.6571313,0.32162595,8.285699,0.9036821,0.12261959,0.04766065,0.0042684707
56,0.04255391,0.0065321033,0.07996536,0.03993607,0.09240352,0.52137125,5.7672787,1.4360995,0.52950686,0.29213458,0.04880135,0.004463951
57,0.024105249,0.008292513,0.07373192,0.0571433,0.040471833,0.30856228,0.7535975,0.9282457,10.219485,0.07698881,0.05998316,0.004215076
58,0.008239774,0.003261485,0.03402209,0.016495923,0.0142572215,1.0768434,0.17222862,4.484585,0.04984363,0.06744965,0.022781158,0.0024527272
59,0.030425148,0.04533137,0.086846955,0.08775617,0.042778242,0.10237893,0.05697826,0.033762813,15.477645,0.06977048,0.06700859,0.016005594
60,0.019301709,0.0044451044,0.09867161,0.047006264,0.031348266,0.5770557,2.2608538,3.5996244,5.3682294,0.10781948,0.05008013,0.0040598144
61,0.017659746,0.008606194,0.11185969,0.064033814,0.03797656,0.6346555,0.07199922,3.3283226,6.4960704,0.082614176,0.090382025,0.004686054
62,0.00867869,0.0035358525,0.08675989,0.01947636,0.038079083,3.6184666,0.046566553,18.563887,0.032761585,0.4126795,0.045315463,0.002608108
63,0.019290203,0.004359281,0.17974755,0.036133595,0.06006864,1.9253366,11.85351,1.3162793,1.6513194,0.29969448,0.06425564,0.0032279978
64,1.2435936,0.680133,0.050639946,2.08181,0.03363866,0.121418536,0.0670581,1.2635226,2.8504052,0.03900545,0.059170626,0.041934926
65,0.037471734,0.008475659,0.07492748,0.1416218,0.14090651,0.42143163,2.6547263,1.1887305,3.4885619,0.0910624,0.033710815,0.0049225525
66,0.025077546,0.0050577237,0.08765388,0.043435022,0.033470184,1.0269519,2.2843432,3.0911465,0.9767409,0.12806943,0.052766263,0.0034261066
67,0.023700854,0.006941735,0.12502216,0.0509561,0.07601609,2.5378766,8.349424,0.034140494,6.350717,0.1641204,0.052842196,0.0045803594
68,0.026844475,0.00870895,0.21213515,0.040260725,0.09569352,2.0978212,9.484762,3.443341,0.92400146,0.32619676,0.06724017,0.0038906499
69,0.0113502415,0.00353498,0.08612767,0.019779984,0.039476864,3.2925704,1.8817558,14.92506,0.03400673,0.557905,0.03710302,0.0023110763
70,0.096364774,0.04557583,0.6088732,0.060438585,0.28777605,0.27099693,2.4355946,0.5528786,2.78485,0.06310579,0.04789223,0.033986107
71,0.033306636,0.009160809,0.1146735,0.060945243,0.08599674,0.30509478,0.05655901,1.1606534,12.077259,0.08193751,0.058339927,0.0074017565
72,0.55910254,0.5271396,0.13743313,0.6049692,0.068007715,0.5745745,3.972291,0.03850264,5.9841814,0.1291719,0.10578379,0.021380998
73,0.016962271,0.004132249,0.13018022,0.040933948,0.043809302,3.4175413,0.44835225,10.596223,0.36243102,0.23645909,0.07407133,0.0024478075
74,0.012031902,0.0025195915,0.030996785,0.019774456,0.027485002,0.4815753,3.6625016,0.0579224,0.07378488,0.060106087,0.017636646,0.0024900741
75,0.031537585,1.7442627,0.10494327,0.048966102,0.035992883,1.7562966,1.3912991,14.631314,0.20101808,0.21340916,0.07618789,0.15614301
76,0.03940934,0.01145816,0.17295876,0.15407093,0.045756236,0.4225775,3.2492027,0.02739116,12.611013,0.13062496,0.09810801,0.0045400984
77,0.008375812,0.0067004883,0.051500335,0.031121757,0.020045156,0.09846874,0.03859231,0.028486552,7.4628663,0.034199372,0.040108085,0.0035468808
78,0.02506632,0.0075201523,0.09863729,0.055771805,0.05100466,1.5725372,5.701291,6.2200904,3.0415797,0.23015703,0.06695074,0.0043776757
79,0.02648546,0.0068345657,0.08216108,0.053791456,0.048170146,0.4694069,5.8655457,0.03201353,5.571273,0.15920816,0.06638256,0.0062832814
80,0.050025456,0.013211463,0.22604932,0.44960624,0.13094963,1.0103434,7.3142986,6.000733,1.8165832,0.18897668,0.20036261,0.0089345565
81,0.01034241,0.004215998,0.08248016,0.02009946,0.027001414,2.6516504,8.526447,2.022013,0.051194157,0.16446498,0.039529204,0.0015824401
82,0.013177293,0.0033516234,0.066057175,0.021815112,0.031980146,1.1470858,2.4085763,8.590687,0.054057866,0.17692092,0.027502015,0.0017887204
83,0.011922882,0.0047462266,0.11937705,0.026177472,0.042819336,1.8441663,8.427403,6.382781,0.067501605,0.20403773,0.033352975,0.0020905733
84,0.015804626,0.004964107,0.05367387,0.031188339,0.044776734,1.6339655,4.026267,5.0304656,0.1651342,0.13477786,0.053687442,0.003590826
85,0.014433803,0.0060666697,0.12106776,0.05207933,0.039551888,1.4622012,2.6179624,0.015760446,12.812218,0.14485182,0.06302062,0.0022442283
86,0.029110694,0.007089665,0.1157537,0.072408274,0.037600737,0.75002986,0.036892712,6.6949296,10.471024,0.108022496,0.08579359,0.0045469557
87,0.026919588,0.010999481,0.14217591,0.0797949,0.11612007,0.78256434,5.7166376,0.03375103,11.707552,0.13947424,0.08007197,0.0052448483
88,0.03004107,0.006081915,0.12088281,0.13591853,0.07743594,1.3831053,7.1526704,3.6198487,0.3556743,0.1374105,0.052825667,0.002675749
89,0.1387687,0.01199712,0.056215107,0.091849945,0.031243606,0.18285443,0.05975576,2.0224857,4.541679,0.06810995,0.03351208,0.0052949474
90,0.04771176,0.0109981,0.09899289,0.10601027,0.3334093,0.9362134,6.2219195,0.87041247,3.6685717,0.19197439,0.06291332,0.008396289
91,0.018579671,0.011122005,0.12918572,0.044696636,0.047914404,1.1075908,6.0371537,2.912767,3.4382503,0.15658158,0.07802141,0.006112282
92,0.03385662,0.0089342445,0.20495,0.35271642,0.03183545,0.8317104,0.045257494,5.811461,6.62632,0.10345415,0.11035479,0.0042333445
93,0.026403146,0.005619691,0.07658246,0.03651471,0.07823468,1.9920735,5.4647784,6.008532,0.08017471,0.2015303,0.038896885,0.0037363763
94,0.3616547,0.14116378,0.15555266,0.18479899,0.05092706,0.62004983,8.931703,0.16570783,6.771735,0.23092893,0.6877985,0.097359546
95,0.022793237,0.013957809,0.17797948,0.056047022,0.08313293,0.9748973,6.8303213,0.031942356,8.786439,0.14819153,0.088647984,0.008340959
96,0.013290433,0.0035278103,0.0782541,0.034725513,0.02940687,0.92109686,7.4635,0.038391057,2.0172844,0.40817347,0.0480344,0.0018006309
97,0.02633955,0.007022601,0.19945619,0.022901492,0.10718391,2.0409646,22.28033,0.85500836,0.083858915,0.41946772,0.077107295,0.007733259
98,0.0093915425,0.0026909793,0.03602645,0.02538985,0.020910492,0.33902636,3.3508065,0.04747461,1.492814,0.100468926,0.038889926,0.0022060343
99,0.10901699,0.23657177,0.22243813,0.13906568,0.068462715,0.64983904,1.762494,3.122971,12.023071,0.10543318,0.167276,0.023817651
100,0.016841874,0.0047882493,0.11240652,0.047762446,0.05148393,0.9704189,3.248444,2.1941633,6.360216,0.13874772,0.06983305,0.0032030453
101,0.014762122,0.0038760286,0.10731471,0.07708727,0.027212363,0.86996764,2.5636349,3.9590216,1.7391002,0.10437521,0.9988889,0.002139799
102,0.1819986,0.055980675,0.06316079,0.49876913,0.05228786,0.24374083,0.8697499,1.1193753,4.3521523,0.049801845,0.3727228,0.3889989
103,0.39366204,0.015111985,0.10105625,0.19731966,0.230104,0.86639255,3.257521,4.00692,6.460875,0.16522035,0.06540178,0.0074797845
104,0.033949435,0.0069381944,0.11543763,0.068805546,0.049428653,0.81850344,3.8376758,4.125923,2.3950498,0.39469475,0.045291558,0.0042882366
105,0.0339428,0.00861151,0.1964956,0.05885016,0.057175018,0.8714274,9.592219,0.024740564,7.528572,0.26862395,0.06435058,0.004434972
106,0.037115473,0.007238672,0.098984465,0.06898846,0.042491555,1.1481029,4.0738497,5.0830965,2.100049,0.32667565,0.048354235,0.008183904
107,0.16208707,0.020338614,0.1950501,0.12713389,0.049107667,0.4035716,0.90028626,0.76231736,6.333408,0.1071327,0.17119338,0.030150108
