,meanscell_abundance_w_sf_Atrial Cardiomyocyte,meanscell_abundance_w_sf_Ventricular Cardiomyocyte,meanscell_abundance_w_sf_Fibroblast,meanscell_abundance_w_sf_Endothelial cell,meanscell_abundance_w_sf_Lymphatic Endothelial cell,meanscell_abundance_w_sf_Mural cell,meanscell_abundance_w_sf_Mesothelial cell,meanscell_abundance_w_sf_Neural cell,meanscell_abundance_w_sf_Adipocyte,meanscell_abundance_w_sf_Myeloid,meanscell_abundance_w_sf_Lymphoid,meanscell_abundance_w_sf_Mast cell
144,0.025947867,0.029778311,0.37688172,0.89425325,0.006339749,0.19703342,0.2575615,0.19618088,0.0013171731,0.0006380485,0.32239988,0.5205066
145,0.004000692,0.45977885,0.3375515,0.14453147,0.18386622,0.21189956,0.20187117,0.053863678,0.0020553926,0.0007463775,0.043291867,0.8380573
146,0.0009931816,0.046792254,0.008789127,0.6803837,0.5322524,0.32247394,0.98388386,0.06483645,0.00046377245,0.01999757,0.4594668,0.06895311
147,0.014657913,0.055040747,0.13762276,0.0057719443,0.16769813,0.321325,0.0021511533,0.10861168,0.0004169344,0.38214633,0.41040894,0.43737802
148,0.08764905,0.10244992,0.022057164,0.6320969,0.12775445,0.0037690755,1.36107,0.10868832,0.00075999665,0.29541087,0.042586476,0.0059098783
149,0.5856343,1.0189389,0.3283399,0.23419327,0.16392773,0.008411413,1.0612304,0.008675504,0.0012539582,0.39834705,0.52732784,0.006534335
150,0.0016971249,0.2969852,0.11621739,0.11412621,0.031204822,0.2262758,0.65885264,0.3518086,0.001502415,0.15049534,0.4781835,0.23401007
151,0.0009772123,0.17310101,0.11943811,0.31166604,0.9820177,0.6176742,0.17971191,0.0021272402,0.0008250583,0.07427711,0.6385486,0.008236782
152,0.00034789936,0.014891743,0.45911685,0.05681545,0.29115078,0.20955105,0.0044630067,0.043549515,0.0027499923,0.5445279,0.19050789,0.009880926
153,0.001098256,0.007057678,0.050723653,0.11641161,0.44804218,0.11833743,0.038201317,0.5179877,0.044737887,0.6039468,0.31806898,0.49122444
154,0.0010350007,0.3320839,0.0056733666,0.6032686,0.19030048,0.02119475,0.44402784,0.2632298,0.0009355475,0.3180913,0.018958442,0.35941273
155,0.0021746159,0.5416953,0.58635825,0.026606161,0.20734352,0.31114882,0.4358242,0.0052809846,0.0020361037,0.66727555,0.69530016,0.663624
156,0.012304819,0.055691943,0.07904894,0.24527457,0.10985513,0.35602117,0.001464465,0.2080081,0.0004846343,0.35433558,0.60616547,0.004388885
157,0.00091395865,0.66051453,0.11187084,0.02886873,0.0019492758,0.004430539,0.64109975,0.08239777,0.0006860615,0.0007982211,0.65494853,0.83777833
158,0.007749226,0.15073287,0.32621375,0.5606102,0.007068599,0.22516683,0.003593911,0.4584412,0.00057022885,0.04313174,0.19167027,0.0032614113
159,0.0006766304,0.0067367773,0.25700185,0.5852353,0.8005287,0.28150302,0.08841744,0.0017550885,0.00033541402,0.26344422,0.06648352,0.31748983
160,0.009839163,0.40651524,0.35897532,0.0637837,0.0019725135,0.284048,0.0068244515,0.084855594,0.00090573623,0.12082781,0.47209787,0.74853927
161,0.015559047,0.61118144,0.21542792,0.46804985,0.20177124,0.863643,0.39716893,0.44126058,0.0010748156,0.00061228976,0.10284761,0.09468053
162,0.0058234427,0.06525912,0.41737196,0.140508,0.8121734,0.048961557,0.051562607,0.20791823,0.0011136698,0.26394895,0.0074074306,0.38708678
163,0.00024198506,0.00040134866,0.70536786,0.6019156,0.15314154,0.011612203,0.03637604,0.0016830631,0.00033787754,0.30809718,0.46976507,0.26974607
164,0.0018308193,0.20562258,0.2292998,0.012467896,0.06778948,0.52875894,0.24123573,0.3034852,0.0009466358,0.14342056,1.1301284,0.00476167
165,0.0017848973,0.38184315,0.054859255,0.75946534,0.14103575,0.36080313,0.07772521,0.1271193,0.0052503087,0.3101551,0.42007506,0.32280803
166,0.0013758981,0.3208317,0.0025445693,0.17227961,0.16829516,0.18402748,0.0027845493,0.3300246,0.00035324437,0.00033141344,0.45915684,0.6560949
167,0.00017064776,0.00029882535,0.0070645227,0.30471072,0.7942632,0.0031770724,0.72502947,0.0018373176,0.00042141945,0.23882729,0.7108674,0.1532509
168,0.0018684112,0.117400035,0.67323166,0.4417925,0.5512856,0.06468265,0.8506036,0.62445456,0.0011155895,0.0048991204,0.45218188,0.35639188
169,0.0351059,0.6030596,0.3672525,0.041675054,0.28843448,0.07366688,0.014635154,0.4259239,0.0011014066,0.21863173,0.45860392,0.21119142
170,0.042811275,0.89059097,0.05774235,0.83060336,0.32384434,0.040951535,0.4185234,0.6168755,0.0014310512,0.12566294,0.3218068,0.20241165
171,0.00014735997,0.00040254593,0.032774318,0.6914531,0.40022117,0.04635087,0.38735265,0.0021119071,0.00056513463,0.6720131,0.024485406,0.63710165
172,0.0012128024,0.2779455,0.1992246,0.6526702,0.24952765,0.09288252,0.005414895,0.290993,0.0007737552,0.16438867,0.30570865,0.13294096
173,0.0028878392,0.12412372,0.045546148,0.6255889,0.30912805,0.22851929,0.34399086,0.5431684,0.0010846006,0.5864471,0.075895,0.011321321
174,0.0014068545,0.17825013,0.672276,0.3851228,0.15622021,0.0070422436,0.46725765,0.24007697,0.000883282,0.7101823,0.012948146,0.10441359
175,0.002144544,0.62349653,0.19690995,0.0035064295,0.001416907,0.19576414,0.58597654,0.19822855,0.012211706,0.55909896,0.01424066,0.15857212
