,Adipocyte,Atrial Cardiomyocyte,Endothelial cell,Fibroblast,Lymphatic Endothelial cell,Lymphoid,Mast cell,Mesothelial cell,Mural cell,Myeloid,Neural cell,Ventricular Cardiomyocyte
103,0.060796153,0.26256514,0.044554733,2.0191324e-06,3.244785e-07,0.046204034,0.063861035,0.0034767776,8.288034e-05,0.103048615,1.1568338e-05,0.41539672
104,0.6299168,0.052692015,0.024185056,2.240177e-06,2.8883278e-05,0.013922976,0.008991214,0.0003359067,0.0008607118,0.13832383,9.4992e-06,0.13073081
105,0.10365805,0.25343376,0.040721904,1.6334301e-06,3.256088e-08,0.014912511,0.0072405185,0.0018032497,5.388407e-05,0.09644481,8.622039e-06,0.4817211
106,0.003557757,0.52508974,0.024654808,4.721705e-06,9.057823e-07,0.029498441,0.13470954,6.6499735e-05,5.3774147e-06,0.057900105,1.5736363e-05,0.22449638
107,0.4510363,0.23140582,0.027807597,1.6742654e-06,6.2728955e-06,0.008072004,0.0031201597,0.00013444394,0.00021923847,0.107099734,8.093819e-06,0.1710886
108,0.012877171,0.35203305,0.025472721,2.694073e-06,1.6804728e-09,0.012217962,0.008692843,0.00033193678,5.5369064e-06,0.035088867,9.710015e-06,0.5532675
109,0.3027779,0.006138786,0.027867228,8.73224e-06,0.0029324286,0.038551625,0.3530287,0.004695647,0.03014216,0.2121732,2.6501182e-05,0.021657059
110,0.3500771,0.0968592,0.03515991,1.2211259e-06,7.476451e-07,0.012863617,0.0063378527,0.0018631552,0.0002652897,0.109642886,6.827335e-06,0.3869222
111,0.004607687,0.10047618,0.024148742,4.2938495e-06,5.8055946e-05,0.04988955,0.37785283,0.0034730406,6.890203e-05,0.058445577,1.8783156e-05,0.38095638
112,0.0807657,0.2488671,0.030540485,2.2825177e-06,0.0015548706,0.026490267,0.059339438,1.5062896e-05,5.667695e-05,0.39779228,8.864485e-06,0.15456697
113,0.044362552,0.16238594,0.030296568,1.817659e-06,6.4021437e-09,0.019232417,0.015751183,0.0018090027,1.9883686e-05,0.08430078,8.758029e-06,0.6418311
114,0.08263746,0.09487093,0.039617136,3.265382e-06,0.000290343,0.03591502,0.15488592,0.0013215848,0.0006029899,0.28541848,1.6547436e-05,0.30442035
115,0.033421233,0.07828788,0.022417745,3.645209e-06,0.007824878,0.024763033,0.1575379,1.6422018e-05,7.1406066e-05,0.4981639,1.08382355e-05,0.17748111
116,0.0050055073,0.03162491,0.019332109,1.9729177e-05,0.007858264,0.044999607,0.7035862,0.0013670059,0.00088295207,0.10861033,5.04579e-05,0.07666296
117,0.009135953,0.050459962,0.022237677,8.356892e-06,0.0018575845,0.03814332,0.5415585,0.0034885965,0.0005262747,0.099664316,3.3113345e-05,0.23288634
