source_run_group,run_id,dataset_id,outer_split_seed,inner_mixture_seed,condition,method_run_id,status,error,runtime_seconds,runtime_source,peak_memory_bytes,peak_memory_mb,peak_memory_source,peak_memory_available,rss_measurement,execution_action,converged,selected_restart,count_log_likelihood,shape_log_likelihood,abundance_log_prior,total_log_objective
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211,3301,211,equal_celltype,shapemix_count_only,success,,1906.629182708915,run.yaml:performance.wall_runtime_seconds,1666957312,1589.734375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1708572672,""platform"":""darwin"",""raw_value"":1708572672,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,0,-12752267.390625,0.0,-31653.559692382812,-12783920.950317383
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_3301_mix_211,3301,211,equal_celltype,shapemix_length,success,,3464.9296589172445,run.yaml:performance.wall_runtime_seconds,1608171520,1533.671875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1708572672,""platform"":""darwin"",""raw_value"":1708572672,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12761015.23046875,-13471679.09375,-30081.423461914062,-26262775.747680664
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101,4409,101,equal_celltype,shapemix_count_only,success,,1909.1110244169831,run.yaml:performance.wall_runtime_seconds,1690714112,1612.390625,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1734639616,""platform"":""darwin"",""raw_value"":1734639616,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12768977.23828125,0.0,-31517.644165039062,-12800494.882446289
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_101,4409,101,equal_celltype,shapemix_length,success,,3484.270822207909,run.yaml:performance.wall_runtime_seconds,1722105856,1642.328125,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1734639616,""platform"":""darwin"",""raw_value"":1734639616,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12776785.53125,-13532337.59375,-30091.320190429688,-26339214.44519043
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_211,4409,211,equal_celltype,shapemix_count_only,success,,1808.8774056667464,run.yaml:performance.wall_runtime_seconds,1735901184,1655.484375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1750401024,""platform"":""darwin"",""raw_value"":1750401024,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12746385.5546875,0.0,-31340.153076171875,-12777725.707763672
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_4409_mix_211,4409,211,equal_celltype,shapemix_length,success,,3209.122930791229,run.yaml:performance.wall_runtime_seconds,1750302720,1669.21875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1750401024,""platform"":""darwin"",""raw_value"":1750401024,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12754029.5234375,-13463856.80859375,-29926.29833984375,-26247812.630371094
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_101,5501,101,equal_celltype,shapemix_count_only,success,,1928.5430316673592,run.yaml:performance.wall_runtime_seconds,1705771008,1626.75,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1763639296,""platform"":""darwin"",""raw_value"":1763639296,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12699265.1953125,0.0,-31508.848266601562,-12730774.043579102
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_101,5501,101,equal_celltype,shapemix_length,success,,3732.364280167036,run.yaml:performance.wall_runtime_seconds,1672462336,1594.984375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1763639296,""platform"":""darwin"",""raw_value"":1763639296,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12707064.96484375,-13378092.421875,-30086.651000976562,-26115244.037719727
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_211,5501,211,equal_celltype,shapemix_count_only,success,,1973.2927131662143,run.yaml:performance.wall_runtime_seconds,1666924544,1589.703125,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1718173696,""platform"":""darwin"",""raw_value"":1718173696,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12717307.31640625,0.0,-31894.5830078125,-12749201.899414062
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_equal_celltype_split_5501_mix_211,5501,211,equal_celltype,shapemix_length,success,,3446.210090540815,run.yaml:performance.wall_runtime_seconds,1711308800,1632.03125,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1718173696,""platform"":""darwin"",""raw_value"":1718173696,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12725102.15234375,-13425299.99609375,-30441.338623046875,-26180843.487060547
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101,1103,101,observed_abundance,shapemix_count_only,success,,2036.8559147496708,run.yaml:performance.wall_runtime_seconds,1625735168,1550.421875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1625866240,""platform"":""darwin"",""raw_value"":1625866240,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,0,-12539963.8828125,0.0,-37620.115966796875,-12577583.998779297
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_101,1103,101,observed_abundance,shapemix_length,success,,2848.698123791255,run.yaml:performance.wall_runtime_seconds,1375125504,1311.421875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1388773376,""platform"":""darwin"",""raw_value"":1388773376,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,0,-12543891.86328125,-13158262.30859375,-36867.007080078125,-25739021.178955078
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211,1103,211,observed_abundance,shapemix_count_only,success,,1912.7425505830904,run.yaml:performance.wall_runtime_seconds,1705394176,1626.390625,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1705410560,""platform"":""darwin"",""raw_value"":1705410560,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,0,-12498015.58984375,0.0,-38014.272216796875,-12536029.862060547
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_01_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_1103_mix_211,1103,211,observed_abundance,shapemix_length,success,,2695.0305714169517,run.yaml:performance.wall_runtime_seconds,1391542272,1327.078125,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1403781120,""platform"":""darwin"",""raw_value"":1403781120,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12501839.671875,-13120207.96484375,-37335.09814453125,-25659382.73486328
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101,2203,101,observed_abundance,shapemix_count_only,success,,1874.7556270421485,run.yaml:performance.wall_runtime_seconds,1692532736,1614.125,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1692532736,""platform"":""darwin"",""raw_value"":1692532736,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12539937.52734375,0.0,-37540.212646484375,-12577477.739990234
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_02_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_101,2203,101,observed_abundance,shapemix_length,success,,2706.656668874901,run.yaml:performance.wall_runtime_seconds,1350926336,1288.34375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1353269248,""platform"":""darwin"",""raw_value"":1353269248,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,0,-12543845.25,-13155205.83984375,-36782.120849609375,-25735833.21069336
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211,2203,211,observed_abundance,shapemix_count_only,success,,1914.322006041184,run.yaml:performance.wall_runtime_seconds,1763639296,1681.9375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1763639296,""platform"":""darwin"",""raw_value"":1763639296,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,0,-12437895.015625,0.0,-38386.717529296875,-12476281.733154297
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_03_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_2203_mix_211,2203,211,observed_abundance,shapemix_length,success,,2668.2971548750065,run.yaml:performance.wall_runtime_seconds,1348583424,1286.109375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1352368128,""platform"":""darwin"",""raw_value"":1352368128,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12441636.734375,-13010385.94921875,-37657.883544921875,-25489680.567138672
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101,3301,101,observed_abundance,shapemix_count_only,success,,1827.008770875167,run.yaml:performance.wall_runtime_seconds,1718173696,1638.578125,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1718173696,""platform"":""darwin"",""raw_value"":1718173696,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,2,-12473994.33203125,0.0,-38162.517333984375,-12512156.849365234
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_04_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101__atac__highly_variable__shapemix_length,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_101,3301,101,observed_abundance,shapemix_length,success,,2594.029683083296,run.yaml:performance.wall_runtime_seconds,1407811584,1342.59375,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1408221184,""platform"":""darwin"",""raw_value"":1408221184,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12478029.4140625,-13053905.875,-37379.041259765625,-25569314.330322266
/Users/rzhuang/Documents/VscodeProjects/deconvATAC/results/primary/shapemix_primary_ablation_protocol_v1__shard_00_of_05,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_211__atac__highly_variable__shapemix_count_only,pbmc_granulocyte_sorted_10k_shapemix_observed_abundance_split_3301_mix_211,3301,211,observed_abundance,shapemix_count_only,success,,2075.840376915876,run.yaml:performance.wall_runtime_seconds,1682669568,1604.71875,run.yaml:performance.peak_rss_bytes,True,"{""platform"":""darwin"",""ru_maxrss"":{""bytes"":1708572672,""platform"":""darwin"",""raw_value"":1708572672,""semantics"":""process_lifetime_high_water_mark"",""units"":""bytes""},""sample_interval_seconds"":0.02,""semantics"":""maximum sampled sum of driver and recursive child RSS"",""source"":""psutil_sampled_process_tree""}",executed,True,1,-12541891.62890625,0.0,-37300.24267578125,-12579191.871582031
