factor,level,control_level,method_run_id,metric,mixture_seeds,mean_value,seed_sd,minimum_value,maximum_value
features,peaks_2500,peaks_5000,shapemix_length,jsd_v2,2,0.14499976370521012,0.0017945809712877332,0.1437308033310242,0.146268724079396
features,peaks_2500,peaks_5000,shapemix_length,rmse_v1,2,0.049990731390445506,1.7163199834310505e-05,0.0499785951754558,0.0500028676054352
features,peaks_5000,peaks_5000,nnls,jsd_v2,2,0.14542230640155365,0.003206997591136924,0.1431546166576118,0.1476899961454955
features,peaks_5000,peaks_5000,nnls,rmse_v1,2,0.054703285292333204,0.00041422142638387075,0.0544103865128244,0.054996184071842
features,peaks_5000,peaks_5000,shapemix_count_only,jsd_v2,2,0.12416523189146725,0.0008832434660747298,0.1235406844471671,0.1247897793357674
features,peaks_5000,peaks_5000,shapemix_count_only,rmse_v1,2,0.0467864131387968,0.00041253697326605306,0.0464947054475102,0.0470781208300834
features,peaks_5000,peaks_5000,shapemix_length,jsd_v2,2,0.1293023840278407,0.0012055708571116054,0.1284499166995762,0.1301548513561052
features,peaks_5000,peaks_5000,shapemix_length,rmse_v1,2,0.04690788256701475,0.00025853928788022786,0.0467250676833515,0.047090697450678
rare_nk,fraction_0p001,observed,nnls,jsd_v2,2,0.14429358487801508,5.669382479901702e-05,0.1442534962900483,0.1443336734659819
rare_nk,fraction_0p001,observed,nnls,rmse_v1,2,0.05514696725576365,1.1745020958386121e-05,0.0551386622717988,0.0551552722397285
rare_nk,fraction_0p001,observed,shapemix_count_only,jsd_v2,2,0.12038758167232161,0.0019707836111207654,0.1189940272166468,0.1217811361279964
rare_nk,fraction_0p001,observed,shapemix_count_only,rmse_v1,2,0.04653312094661275,0.0007086029612102723,0.0460320629875721,0.0470341789056534
rare_nk,fraction_0p001,observed,shapemix_length,jsd_v2,2,0.12694473608802576,0.0016297909736034955,0.1257922998386741,0.1280971723373774
rare_nk,fraction_0p001,observed,shapemix_length,rmse_v1,2,0.046870669301028095,0.0006567776135131954,0.0464062573967814,0.0473350812052748
rare_nk,fraction_0p005,observed,nnls,jsd_v2,2,0.14590892136983258,0.0011855874427619518,0.145070584449366,0.1467472582902992
rare_nk,fraction_0p005,observed,nnls,rmse_v1,2,0.055810267463410904,0.0005500744378960801,0.0554213060982172,0.0561992288286046
rare_nk,fraction_0p005,observed,shapemix_count_only,jsd_v2,2,0.12292608641049416,3.185705164466896e-05,0.1229035600732476,0.1229486127477407
rare_nk,fraction_0p005,observed,shapemix_count_only,rmse_v1,2,0.0478526593327483,0.00044990620538352873,0.0475345276040237,0.0481707910614729
rare_nk,fraction_0p005,observed,shapemix_length,jsd_v2,2,0.12834509065622873,0.00015771510736740262,0.1282335692343137,0.1284566120781438
rare_nk,fraction_0p005,observed,shapemix_length,rmse_v1,2,0.0476306709338153,0.0004320195495509015,0.0473251869807227,0.0479361548869079
rare_nk,fraction_0p010,observed,nnls,jsd_v2,2,0.1452404897420315,0.00039932932769528543,0.1449581212664915,0.1455228582175715
rare_nk,fraction_0p010,observed,nnls,rmse_v1,2,0.054859717311574505,8.229216266623891e-05,0.0548015279653147,0.0549179066578343
rare_nk,fraction_0p010,observed,shapemix_count_only,jsd_v2,2,0.12147994451948095,0.0007718963931117495,0.1209341313455382,0.1220257576934237
rare_nk,fraction_0p010,observed,shapemix_count_only,rmse_v1,2,0.046843096266573445,0.00018399123266747976,0.0467129948182754,0.0469731977148715
rare_nk,fraction_0p010,observed,shapemix_length,jsd_v2,2,0.12747816687069286,0.0005448630581941958,0.1270928905074257,0.12786344323396
rare_nk,fraction_0p010,observed,shapemix_length,rmse_v1,2,0.046930284836052646,0.00037139096056931564,0.0466676717693627,0.0471928979027426
rare_nk,observed,observed,nnls,jsd_v2,2,0.14542230640155365,0.003206997591136924,0.1431546166576118,0.1476899961454955
rare_nk,observed,observed,nnls,rmse_v1,2,0.054703285292333204,0.00041422142638387075,0.0544103865128244,0.054996184071842
rare_nk,observed,observed,shapemix_count_only,jsd_v2,2,0.12416523189146725,0.0008832434660747298,0.1235406844471671,0.1247897793357674
rare_nk,observed,observed,shapemix_count_only,rmse_v1,2,0.0467864131387968,0.00041253697326605306,0.0464947054475102,0.0470781208300834
