,meanscell_abundance_w_sf_endothelial cell,meanscell_abundance_w_sf_astrocyte,meanscell_abundance_w_sf_oligodendrocyte,meanscell_abundance_w_sf_microglial cell,meanscell_abundance_w_sf_vascular associated smooth muscle cell,meanscell_abundance_w_sf_inhibitory interneuron,meanscell_abundance_w_sf_pericyte,meanscell_abundance_w_sf_glutamatergic neuron,meanscell_abundance_w_sf_radial glial cell,meanscell_abundance_w_sf_oligodendrocyte precursor cell,meanscell_abundance_w_sf_neural progenitor cell,meanscell_abundance_w_sf_medial ganglionic eminence derived interneuron,meanscell_abundance_w_sf_caudal ganglionic eminence derived interneuron
82,3.8158636,1.928045,0.006200417,0.005859688,0.012397301,0.00424373,0.010150371,0.003440614,0.036742866,0.0037914517,0.7977317,0.0035114856,0.005575021
83,3.5510824,0.3416296,0.11142764,0.011922924,0.10790548,0.0061727436,0.08768768,0.018853376,0.008449636,3.014416,0.048199162,0.033884868,0.9160824
84,0.669403,1.7560258,0.04200317,0.0061387625,0.013729296,0.02383805,0.0116262585,0.035239507,0.03944716,1.9993323,4.5989137,0.016462516,0.01729673
85,0.055264756,3.1646888,0.0066643474,0.005116464,0.0090156635,0.010496821,0.007398914,0.007272589,0.013067875,2.1398182,0.004926422,0.0077435845,0.014412092
86,0.039799567,4.3644094,0.010285717,0.0041374527,0.011901776,0.007155753,0.01426892,0.008529125,0.024300855,3.2950487,0.0064293263,0.0065119388,0.010932319
87,3.6231272,0.0054194643,0.0046539484,0.023518184,0.011381814,0.00790187,0.020043854,0.00951787,0.008306161,1.5701735,0.01250314,0.02644282,1.0387537
88,2.5052726,0.0018505875,0.0064785574,0.004583838,0.007385171,0.03283602,0.011033855,0.02374454,0.0060027256,0.0027746751,4.362071,0.004529619,0.007769925
89,0.029371167,0.019781878,0.019110462,0.008677079,0.007699729,0.32604757,0.007714342,0.021313755,0.017715307,1.798646,1.9272352,0.044147804,0.62345076
90,0.039338622,0.3730815,0.015610085,0.007129444,0.012515071,0.009922165,0.08572857,0.016682839,0.010175934,1.56819,0.038507722,0.031129584,3.2626355
91,0.06793163,2.8568184,0.0060453294,0.8593831,0.015457386,0.010545293,0.018426906,0.012978181,0.07414462,0.06476942,2.384499,0.033352256,0.024160098
