"","Atrial Cardiomyocyte","Ventricular Cardiomyocyte","Fibroblast","Endothelial cell","Lymphatic Endothelial cell","Mural cell","Mesothelial cell","Neural cell","Adipocyte","Myeloid","Lymphoid","Mast cell"
"504",0.000105001941763375,0.000105001944063244,0.000105001943736595,0.00797091258433375,0.000105001943890936,0.590568633964168,0.389540957201759,0.000105001941352083,0.00175315580493928,0.000105001943736378,0.00760464998736474,0.00193167879889276
"505",9.35785574974538e-05,9.35785551728546e-05,9.35818047268229e-05,9.35785556305819e-05,9.35785555089877e-05,0.0531086909351231,0.923724697351309,9.3578552600965e-05,9.35785559262549e-05,9.35785560673044e-05,9.35785559220943e-05,0.0223244014645146
"506",8.84161213661728e-05,8.84161247341065e-05,8.84161246188161e-05,8.84161245495503e-05,8.84161245929254e-05,0.123018431377876,0.801817879798036,8.84161255042794e-05,8.84161244877718e-05,8.84161245434386e-05,8.84161245480697e-05,0.0743679437051425
"507",7.10332958611285e-05,0.00124322875384504,0.0642514848181089,7.10332962287339e-05,7.10332959537267e-05,0.771447781590701,7.10332962287322e-05,7.10332962304742e-05,7.10332962347256e-05,7.10332962550259e-05,7.10332961731433e-05,0.162489238468179
"508",0.00394970068684052,0.000102262451822071,0.000102262451805198,0.0202613578798881,0.000102262451831833,0.387282727620405,0.000102262452112926,0.000102262445077407,0.000102262451049128,0.000102262451758981,0.000102262451812285,0.587688114205597
"509",0.0120967675204815,0.000135850154166232,0.0535851528177116,0.000135850154094661,0.000135850154132599,0.485138718032992,0.297023139796057,0.0229878454495929,0.000135850154110221,0.000135850154027267,0.00439475622512981,0.124094369387504
"510",0.0109892563438102,9.73144159310156e-05,9.73144159555186e-05,0.0902714180700271,9.73144166963971e-05,9.73144159612192e-05,0.572935945237822,9.73144159910403e-05,0.0112360401955394,0.000475078975241502,0.00553763009883787,0.308068058998187
"511",9.84885986260868e-05,9.84886184199129e-05,9.8488621391435e-05,9.84886213914369e-05,9.84886224205413e-05,0.465346039897444,0.266469649633147,9.84886213920993e-05,9.84886181947211e-05,9.84886517423132e-05,0.0686269438425357,0.198769457653295
"512",7.19495640177454e-05,7.1949563512326e-05,7.19495634929095e-05,7.19495635400413e-05,7.19495638376244e-05,0.157442136247842,0.751935279131196,7.19495710158316e-05,0.00239533111405589,0.0876516569903652,7.19495634689472e-05,7.19495636562563e-05
"513",0.000161229820638769,0.000161229821381916,0.0187064729693041,0.000161229822415934,0.000161229822489008,0.000161229822649785,0.841146401508483,0.000161229823423868,0.000161229822405561,0.000675301333705941,0.0020858081087262,0.136257407324377
"514",4.68204138086266e-05,4.68204142580185e-05,4.68204137843428e-05,4.68204137839635e-05,0.00101287454091183,0.142759846880098,4.6820413343768e-05,4.68204137765302e-05,0.00714053335738379,4.68204137839633e-05,0.0418843352916795,0.806874667033388
